timestamp,temperature,vibration,pressure,rotational_speed
2026-01-01 00:00:00,70.457,0.4774,30.203,1504.5
2026-01-01 00:00:01,68.44,0.4667,30.716,1498.9
2026-01-01 00:00:02,71.126,0.5217,30.219,1517.3
2026-01-01 00:00:03,71.411,0.5126,31.791,1512.1
2026-01-01 00:00:04,67.073,0.4298,31.144,1440.3
2026-01-01 00:00:05,68.047,0.5561,29.754,1510.9
2026-01-01 00:00:06,70.192,0.4953,29.746,1479.9
2026-01-01 00:00:07,69.526,0.4445,30.376,1471.6
2026-01-01 00:00:08,69.975,0.5594,29.33,1496.2
2026-01-01 00:00:09,68.72,0.5313,30.933,1508.2
2026-01-01 00:00:10,71.319,0.4368,30.289,1467.2
2026-01-01 00:00:11,71.167,0.5889,30.205,1514.1
2026-01-01 00:00:12,70.099,0.5329,30.55,1515.3
2026-01-01 00:00:13,71.691,0.4995,31.378,1500.9
2026-01-01 00:00:14,70.701,0.5795,30.137,1482.6
2026-01-01 00:00:15,68.711,0.508,29.91,1480.4
2026-01-01 00:00:16,70.553,0.4986,31.207,1520.5
2026-01-01 00:00:17,68.562,0.467,30.774,1469.8
2026-01-01 00:00:18,71.318,0.5291,29.743,1521.3
2026-01-01 00:00:19,69.925,0.5238,30.004,1496.7
2026-01-01 00:00:20,69.723,0.5007,30.156,1498.1
2026-01-01 00:00:21,68.979,0.4605,30.289,1465.8
2026-01-01 00:00:22,71.834,0.5065,28.915,1497.1
2026-01-01 00:00:23,69.768,0.4965,28.766,1512.3
2026-01-01 00:00:24,69.358,0.4333,29.29,1473.3
2026-01-01 00:00:25,69.472,0.4264,29.228,1510.0
2026-01-01 00:00:26,70.798,0.5283,29.485,1501.8
2026-01-01 00:00:27,70.548,0.3699,30.508,1487.1
2026-01-01 00:00:28,70.619,0.5103,29.865,1517.1
2026-01-01 00:00:29,70.646,0.4761,30.157,1456.0
2026-01-01 00:00:30,73.212,0.5654,29.021,1506.9
2026-01-01 00:00:31,69.39,0.4753,29.631,1532.4
2026-01-01 00:00:32,69.232,0.533,30.47,1528.8
2026-01-01 00:00:33,68.779,0.4802,30.476,1507.8
2026-01-01 00:00:34,70.924,0.5057,29.42,1494.0
2026-01-01 00:00:35,71.693,0.5368,30.129,1487.3
2026-01-01 00:00:36,69.829,0.4769,31.759,1493.9
2026-01-01 00:00:37,68.74,0.5498,29.986,1510.9
2026-01-01 00:00:38,68.763,0.4503,29.445,1483.9
2026-01-01 00:00:39,70.976,0.5147,29.861,1515.1
2026-01-01 00:00:40,71.115,0.5461,30.074,1542.7
2026-01-01 00:00:41,70.815,0.533,29.879,1498.8
2026-01-01 00:00:42,69.002,0.5958,29.975,1473.1
2026-01-01 00:00:43,90.927,1.2706,19.547,1473.1
2026-01-01 00:00:44,70.175,0.431,29.23,1515.5
2026-01-01 00:00:45,70.328,0.4503,29.881,1498.8
2026-01-01 00:00:46,71.307,0.533,29.868,1517.5
2026-01-01 00:00:47,70.335,0.5249,29.547,1489.3
2026-01-01 00:00:48,71.018,0.5051,29.858,1516.6
2026-01-01 00:00:49,70.101,0.4439,30.049,1496.8
2026-01-01 00:00:50,70.434,0.5383,30.712,1485.3
2026-01-01 00:00:51,70.947,0.4388,29.921,1492.0
2026-01-01 00:00:52,67.814,0.5579,30.319,1476.1
2026-01-01 00:00:53,69.52,0.6429,29.567,1539.8
2026-01-01 00:00:54,69.294,0.5183,30.458,1498.1
2026-01-01 00:00:55,69.042,0.5292,30.301,1512.9
2026-01-01 00:00:56,69.587,0.4754,30.693,1489.3
2026-01-01 00:00:57,72.242,0.4095,30.571,1479.0
2026-01-01 00:00:58,68.701,0.4699,30.471,1495.3
2026-01-01 00:00:59,71.452,0.4454,29.921,1522.0
2026-01-01 00:01:00,67.476,0.4276,30.196,1489.6
2026-01-01 00:01:01,69.498,0.5861,30.851,1482.6
2026-01-01 00:01:02,70.244,0.5136,29.478,1503.1
2026-01-01 00:01:03,70.879,0.519,29.497,1510.0
2026-01-01 00:01:04,71.067,0.4845,30.145,1532.9
2026-01-01 00:01:05,71.19,0.4914,30.332,1507.1
2026-01-01 00:01:06,69.477,0.5482,29.341,1512.9
2026-01-01 00:01:07,69.306,0.4984,29.94,1514.4
2026-01-01 00:01:08,71.287,0.5265,29.925,1476.9
2026-01-01 00:01:09,69.713,0.4902,28.228,1480.7
2026-01-01 00:01:10,68.086,0.4829,29.824,1478.3
2026-01-01 00:01:11,68.3,0.4297,29.874,1473.4
2026-01-01 00:01:12,68.621,0.4011,29.872,1515.9
2026-01-01 00:01:13,70.746,0.4869,31.133,1505.8
2026-01-01 00:01:14,70.214,0.5028,29.027,1501.6
2026-01-01 00:01:15,71.036,0.4357,29.34,1448.1
2026-01-01 00:01:16,69.359,0.4983,27.91,1541.1
2026-01-01 00:01:17,70.238,0.5027,29.615,1482.1
2026-01-01 00:01:18,70.938,0.3922,29.683,1541.0
2026-01-01 00:01:19,69.536,0.4542,29.592,1471.0
2026-01-01 00:01:20,70.685,0.5204,30.886,1483.8
2026-01-01 00:01:21,69.007,0.5194,30.688,1455.9
2026-01-01 00:01:22,69.455,0.4423,30.062,1507.2
2026-01-01 00:01:23,69.427,0.5079,29.704,1478.0
2026-01-01 00:01:24,68.206,0.5511,30.821,1478.5
2026-01-01 00:01:25,70.73,0.5389,29.984,1472.5
2026-01-01 00:01:26,69.296,0.4952,29.345,1515.5
2026-01-01 00:01:27,70.019,0.4766,28.627,1514.2
2026-01-01 00:01:28,70.721,0.4685,29.647,1536.2
2026-01-01 00:01:29,70.67,0.5234,30.604,1486.3
2026-01-01 00:01:30,70.998,0.5098,31.821,1504.4
2026-01-01 00:01:31,69.852,0.5315,30.049,1474.2
2026-01-01 00:01:32,69.365,0.5066,29.388,1493.3
2026-01-01 00:01:33,69.88,0.5409,29.052,1489.6
2026-01-01 00:01:34,67.469,0.5047,30.442,1509.3
2026-01-01 00:01:35,67.829,0.5392,28.588,1520.3
2026-01-01 00:01:36,68.016,0.5435,30.44,1519.8
2026-01-01 00:01:37,68.504,0.4598,30.654,1483.1
2026-01-01 00:01:38,70.6,0.4096,30.349,1520.0
2026-01-01 00:01:39,68.642,0.5772,29.824,1499.1
2026-01-01 00:01:40,69.433,0.5128,30.452,1493.5
2026-01-01 00:01:41,71.949,0.4143,30.137,1485.8
2026-01-01 00:01:42,69.466,0.4643,29.378,1488.8
2026-01-01 00:01:43,71.106,0.5386,31.48,1534.8
2026-01-01 00:01:44,68.6,0.486,29.719,1506.1
2026-01-01 00:01:45,69.692,0.4744,30.621,1503.5
2026-01-01 00:01:46,68.575,0.57,28.065,1494.8
2026-01-01 00:01:47,69.491,0.4476,31.021,1548.9
2026-01-01 00:01:48,71.26,0.4601,31.175,1526.1
2026-01-01 00:01:49,67.409,0.5106,30.024,1485.6
